Name,Logo,Teaser,Sector,Company Stage,Business Model,Customer Focus,Founding Year,Team Size,Handelsregister,Headquarter,Official Website,On Social Media,Legal Entity,About,Members
erento,https://cdn.startbase.com/images/a37d5e6c46f93720d03d4369c9f86f90/96efbfac6a3cca6/?w=205&h=64,,IT and Communications,Steady Stage,Platform,B2B2C,2003,11-50 Employees,Found,"Berlin, DE",erento.com,['https://www.linkedin.com/company/erento-gmbh/'],erento GmbH,,"{'Uwe Kampschulte': 'Founder', 'Christian Möller': 'Founder'}"
doppelpass.digital,https://cdn.startbase.com/images/company/doppelpass-digital/d9845a20cd/?w=205&h=64,Platform for soccer fans to get more involved in club life.,Sports & Amusement/Gaming incl. Online,Seed Stage,Platform,B2B2C,2020,1-10 Employees,Found,"Solingen, DE",doppelpass.digital,"['https://www.linkedin.com/company/doppelpassdigital-ug/', 'https://www.facebook.com/doppelpass.digital']",doppelpass.digital UG,,"{'Peter Wingen': 'Founder', 'Patrick Baur': 'Founder', 'Gerrit Kremer': 'Founder'}"
TalentRocket,https://cdn.startbase.com/images/bdb39a13914c02531b122552be9e3bea/811b496b44456cd/?w=205&h=64,,Human Resources,Growth Stage,Platform,B2B2C,2012,11-50 Employees,Found,"München, DE",talentrocket.de,"['https://twitter.com/talentrocket?lang=de', 'https://www.linkedin.com/company/talentrocket-gmbh/', 'https://www.xing.com/pages/talentrocketgmbh', 'https://www.facebook.com/TalentRocket/']",TalentRocket GmbH,,"{'Magdalena Enzinger': 'Founder', 'Yacine Coco': 'Founder'}"
xbulk,https://cdn.startbase.com/images/company/crenovative/01e44c2480/?w=205&h=64,Buyer network for wholesale & bulk products,Industrial & Basic Materials,Steady Stage,Retail / E-Commerce,B2B2C,2016,1-10 Employees,Found,"Scharbeutz, DE",x-bulk.de,"['https://twitter.com/X_Bulk', 'https://www.linkedin.com/company/34237232']",Crenovative GmbH,,{'Tobias Schöning': 'Founder'}
kinoheld,https://cdn.startbase.com/images/company/kinoheld/392bdaf8b2/?w=205&h=64,Online platform for buying cinema tickets.,"Media, Arts & Entertainment",Steady Stage,Platform,B2B2C,2012,11-50 Employees,Found,"München, DE",kinoheld.de,"['https://www.instagram.com/kinoheld.de/?hl=de', 'https://twitter.com/Kinoheld_de', 'https://www.linkedin.com/company/kinoheld/', 'https://www.xing.com/companies/kinoheldgmbh', 'https://www.youtube.com/channel/UCRq7BPuhnMEm6bXs0BTZ9nA', 'https://www.facebook.com/kinoheld.de']",kinoheld GmbH,,"{'Bernhard Kalhammer': 'Founder', 'Constantin Schwaab': 'Founder'}"
clAPPline,https://cdn.startbase.com/images/company/clappline/b09844b564/?w=205&h=64,Marketing platform for clubs and events.,"Media, Arts & Entertainment",Startup Stage,Platform,B2B2C,2015,1-10 Employees,Found,"Münster, DE",clappline.de,"['https://www.instagram.com/clappline/', 'https://www.facebook.com/clappline/']",clAPPline GmbH,,"{'Dr. Burkhard Peter Breuer': 'Founder', 'Nils Christian Liebich': 'Founder', 'Frank Dieter Rohmann': 'Founder'}"
cube.de,https://cdn.startbase.com/images/company/cube-de/9b9c30ec82/?w=205&h=64,Online Platform for local industry search.,IT and Communications,Startup Stage,Platform,B2B2C,2014,1-10 Employees,Found,"Klein-Winternheim, DE",cube.de,"['https://twitter.com/cube_de_GmbH', 'https://www.facebook.com/cubede-323559151033245/?ref=page_internal']",cube.de GmbH,,"{'Thomas Schäfer': 'Founder', 'Thorsten Schmidt': 'Founder'}"
Dein Reisebüro,https://cdn.startbase.com/images/company/dein-reisebuero/d901421f28/?w=205&h=64,Contact and communication platform for travel agencies.,Tourism,Seed Stage,Platform,B2B2C,2019,1-10 Employees,Found,"Berlin, DE",dein-reisebuero.com,[],T3 Touristik Think Thank GmbH,,{'Martin Hein': 'Founder'}
Endgame Entertainment,https://cdn.startbase.com/images/company/endgame-entertainment/d5b8246162/?w=205&h=64,Artist network that mainly offers management and booking.,"Media, Arts & Entertainment",Seed Stage,Sale of Services,B2B2C,2020,1-10 Employees,Found,"Stuttgart, DE",endgame-entertainment.de,"['https://www.linkedin.com/company/endgame-entertainment-gmbh', 'https://www.xing.com/companies/endgameentertainmentgmbh']",Endgame Entertainment GmbH,,{'Marvin Endres': 'Founder'}
Quickdoctor,https://cdn.startbase.com/images/company/quickdoctor/07cd7536f3/?w=205&h=64,Platform for efficient arrangement and booking of medical appointments.,Life Science & Healthcare,Seed Stage,Platform,B2B2C,2019,1-10 Employees,Found,"Witten, DE",quickdoctor.de,"['https://twitter.com/Quickdoctor_de', 'https://www.linkedin.com/company/quickdoctor/', 'https://www.facebook.com/Quickdoctor.de/']",Quickdoctor UG,,"{'Nina Sofie Krah': 'Founder', 'Max Schüler': 'Founder', 'Lukas Liß': 'Founder'}"
Talentmagnet,https://cdn.startbase.com/images/company/talentmagnet/8f0ab9342c/?w=205&h=64,HR recruiting service for recruiting via social media.,Human Resources,Seed Stage,Platform,B2B2C,2019,1-10 Employees,Found,"Hamburg, DE",talentmagnet.io,"['https://www.linkedin.com/company/talentmagnetio/', 'https://www.facebook.com/tr?id=330886917575533&ev=PageView&noscript=1']",Talentmagnet UG,,{'Michael Aßhauer': 'Founder'}
eatclever,https://cdn.startbase.com/images/dd876db2b9ba0f8230aea9a52dd40ef0/f5bd6b8880b1f89/?w=205&h=64,,Nutrition & Consumables,Startup Stage,Retail / E-Commerce,B2B2C,2015,1-10 Employees,Found,"Hamburg, DE",eatclever.de,"['https://instagram.com/eatclever_de/', 'https://twitter.com/eatclever_de', 'https://www.linkedin.com/company/eatclever', 'https://www.facebook.com/tr?id=FB_PIXEL_ID&amp;ev=PageView&amp;noscript=1']",eatclever UG,,"{'Robin Himmels': 'Founder', 'Mohamed Chahin': 'Founder', 'Marco Langhoff': 'Founder'}"
getraenkedienst.com,https://cdn.startbase.com/images/company/drink-now/e19193c9ab/?w=205&h=64,Delivery of beverages to companies and domestic homes.,Nutrition & Consumables,Seed Stage,Sale of Services,B2B2C,2016,1-10 Employees,Found,"München, DE",getraenkedienst.com,"['https://www.instagram.com/getraenkedienst/?hl=de', 'https://www.linkedin.com/company/drink-now-getraenkedienst-com/', 'https://www.facebook.com/getraenkedienstcom/']",drink now GmbH,,{'Jens Fabian Lauckner': 'Founder'}
Tavios,https://cdn.startbase.com/images/company/tavios/99737c08a7/?w=205&h=64,Appointment booking system for medical practices.,Life Science & Healthcare,Seed Stage,SaaS,B2B2C,2020,1-10 Employees,Found,"Taunusstein, DE",tavios.de,[],Tavios GmbH & Co. KG,,{}
wertewandel,https://cdn.startbase.com/images/company/semikolon/7ce806a802/?w=205&h=64,Online points program to reward customers for buying sustainable products.,IT and Communications,Seed Stage,Platform,B2B2C,2016,1-10 Employees,Found,"Bonn, DE",wertewandel.de,"['https://twitter.com/wertewandel', 'https://www.linkedin.com/company/wertewandel-gmbh/']",Semikolon GmbH,,"{'Milan Wolfs': 'Founder', 'Sebastian Schulz': 'Founder'}"
auteon,https://cdn.startbase.com/images/company/auteon/780a327edd/?w=205&h=64,Platform for the automotive aftermarket.,"Automotive, Logistics & Mobility",Startup Stage,Platform,B2B2C,2019,11-50 Employees,Found,"München, DE",auteon.com,"['https://www.instagram.com/auteonteam/', 'https://twitter.com/auteon', 'https://www.linkedin.com/company/auteon', 'https://www.facebook.com/auteon-439569370128315/?ref=br_rs']",auteon GmbH,,"{'Florian Pinger': 'Founder', 'Dr. Torsten Ernst Walter Poeck': 'Founder'}"
Jodel,https://cdn.startbase.com/images/company/jodel/089e9a006c/?w=205&h=64,Hyperlocal communication platform to engage with the community around you.,IT and Communications,Growth Stage,Platform,B2B2C,2014,11-50 Employees,Found,"Berlin, DE",jodel.com,"['https://twitter.com/jodelapp', 'https://www.linkedin.com/company/jodel-app']",Jodel GmbH,,"{'Henrik Settels': 'Founder', 'Alessio Avellán Borgmeyer': 'Founder', 'Henrik Matthies': 'Founder', 'Julius Lauenstein': 'Founder'}"
